categoria,tipo,termo
Advertência,Interjeição Simples,Cuidado!
Advertência,Interjeição Simples,Calma!
Advertência,Interjeição Simples,Alerta!
Advertência,Interjeição Simples,Sentinela!
Advertência,Interjeição Simples,Atenção!
Advertência,Locução Interjectiva,Devagar com o andarilho!
Advertência,Locução Interjectiva,Olho vivo!
Advertência,Locução Interjectiva,Cuidado lá!
Advertência,Locução Interjectiva,Alto lá!
Alegria / Satisfação,Interjeição Simples,Ah!
Alegria / Satisfação,Interjeição Simples,Oh!
Alegria / Satisfação,Interjeição Simples,Oba!
Alegria / Satisfação,Interjeição Simples,Eba!
Alegria / Satisfação,Interjeição Simples,Viva!
Alegria / Satisfação,Interjeição Simples,Uhu!
Alegria / Satisfação,Interjeição Simples,Eita!
Alegria / Satisfação,Locução Interjectiva,Que bom!
Alegria / Satisfação,Locução Interjectiva,Graças a Deus!
Alegria / Satisfação,Locução Interjectiva,Muito bem!
Alegria / Satisfação,Locução Interjectiva,Que maravilha!
Alívio,Interjeição Simples,Ufa!
Alívio,Interjeição Simples,Arre!
Alívio,Interjeição Simples,Ah!
Alívio,Interjeição Simples,Ahi!
Alívio,Locução Interjectiva,Graças ao céu!
Alívio,Locução Interjectiva,Ainda bem!
Alívio,Locução Interjectiva,Menos mal!
Alívio,Locução Interjectiva,"Ufa, finalmente!"
Animação / Estímulo,Interjeição Simples,Coragem!
Animação / Estímulo,Interjeição Simples,Avante!
Animação / Estímulo,Interjeição Simples,Vamos!
Animação / Estímulo,Interjeição Simples,Força!
Animação / Estímulo,Interjeição Simples,Eia!
Animação / Estímulo,Interjeição Simples,Bora!
Animação / Estímulo,Locução Interjectiva,Firme e forte!
Animação / Estímulo,Locução Interjectiva,Bola para frente!
Animação / Estímulo,Locução Interjectiva,Vai nessa!
Animação / Estímulo,Locução Interjectiva,Mãos à obra!
Aplauso / Aprovação,Interjeição Simples,Bravo!
Aplauso / Aprovação,Interjeição Simples,Bis!
Aplauso / Aprovação,Interjeição Simples,Apoiado!
Aplauso / Aprovação,Interjeição Simples,Viva!
Aplauso / Aprovação,Interjeição Simples,Parabéns!
Aplauso / Aprovação,Locução Interjectiva,Isso mesmo!
Aplauso / Aprovação,Locução Interjectiva,Muito bem!
Aplauso / Aprovação,Locução Interjectiva,Apoiado inteiramente!
Aversão / Nojo,Interjeição Simples,Credo!
Aversão / Nojo,Interjeição Simples,Eca!
Aversão / Nojo,Interjeição Simples,Ui!
Aversão / Nojo,Interjeição Simples,Arre!
Aversão / Nojo,Interjeição Simples,Xi!
Aversão / Nojo,Locução Interjectiva,Cruz credo!
Aversão / Nojo,Locução Interjectiva,Deus me livre!
Aversão / Nojo,Locução Interjectiva,Que horror!
Chamamento / Apelo,Interjeição Simples,Alô!
Chamamento / Apelo,Interjeição Simples,Psiu!
Chamamento / Apelo,Interjeição Simples,Ei!
Chamamento / Apelo,Interjeição Simples,Ô!
Chamamento / Apelo,Interjeição Simples,Olá!
Chamamento / Apelo,Interjeição Simples,Socorro!
Chamamento / Apelo,Locução Interjectiva,Valha-me Deus!
Chamamento / Apelo,Locução Interjectiva,Ó de casa!
Chamamento / Apelo,Locução Interjectiva,Por favor!
Desejo / Ânsia,Interjeição Simples,Oxalá!
Desejo / Ânsia,Interjeição Simples,Tomara!
Desejo / Ânsia,Interjeição Simples,Pudera!
Desejo / Ânsia,Interjeição Simples,Oh!
Desejo / Ânsia,Locução Interjectiva,Quem me dera!
Desejo / Ânsia,Locução Interjectiva,Deus te ouça!
Desejo / Ânsia,Locução Interjectiva,Assim seja!
Dor / Sofrimento,Interjeição Simples,Ai!
Dor / Sofrimento,Interjeição Simples,Ui!
Dor / Sofrimento,Interjeição Simples,Ah!
Dor / Sofrimento,Interjeição Simples,Oh!
Dor / Sofrimento,Locução Interjectiva,Ai de mim!
Dor / Sofrimento,Locução Interjectiva,Que dor!
Dor / Sofrimento,Locução Interjectiva,Ai minha cabeça!
Espanto / Admiração,Interjeição Simples,Caramba!
Espanto / Admiração,Interjeição Simples,Puxa!
Espanto / Admiração,Interjeição Simples,Nossa!
Espanto / Admiração,Interjeição Simples,Uai!
Espanto / Admiração,Interjeição Simples,Xi!
Espanto / Admiração,Interjeição Simples,Ó!
Espanto / Admiração,Interjeição Simples,Virge!
Espanto / Admiração,Locução Interjectiva,Meu Deus!
Espanto / Admiração,Locução Interjectiva,Valha-me Deus!
Espanto / Admiração,Locução Interjectiva,Que coisa!
Espanto / Admiração,Locução Interjectiva,Puxa vida!
Impaciência / Irritação,Interjeição Simples,Puxa!
Impaciência / Irritação,Interjeição Simples,Ora!
Impaciência / Irritação,Interjeição Simples,Arre!
